State,District,City,State_Encoded
Andhra Pradesh,Kurnool,Bethamcheria,1
Madhya Pradesh,Indore,Betma,19
Bihar,Pashchim Champaran,Bettiah,4
Madhya Pradesh,Betul,Betul,19
Madhya Pradesh,Betul,Betul-Bazar,19
Uttar Pradesh,Mainpuri,Bewar,32
Kerala,Kozhikode,Beypore,17
Punjab,Rupnagar,Bhabat,27
Bihar,Kaimur (Bhabua),Bhabua,4
Gujarat,Kachchh,Bhachau,11
Uttar Pradesh,Faizabad,Bhadarsa,32
Punjab,Sangrur,Bhadaur,27
Jammu & Kashmir,Doda,Bhaderwah,14
Uttar Pradesh,Sant Ravidas Nagar,Bhadohi,32
Rajasthan,Hanumangarh,Bhadra,28
Andhra Pradesh,Khammam,Bhadrachalam,1
Orissa,Bhadrak,Bhadrak,25
Maharashtra,Chandrapur,Bhadravati,20
Karnataka,Shimoga,Bhadravati,16
West Bengal,Hugli,Bhadreswar,34
Bihar,Bhagalpur,Bhagalpur (M.Corp),4
Jharkhand,Dhanbad,Bhagatdih,15
Maharashtra,Nashik,Bhagur,20
Uttar Pradesh,Unnao,Bhagwant Nagar,32
Andhra Pradesh,Adilabad,Bhainsa,1
Madhya Pradesh,Betul,Bhainsdehi,19
Rajasthan,Udaipur,Bhalariya,28
Karnataka,Bidar,Bhalki,16
Delhi *,North West,Bhalswa Jahangir Pur,9
Madhya Pradesh,Chhindwara,Bhamodi,19
Maharashtra,Bhandara,Bhandara,20
West Bengal,Haora,Bhandardaha,34
Madhya Pradesh,Datia,Bhander,19
West Bengal,South Twentyfour Parganas,Bhangar Raghunathpur,34
West Bengal,Koch Bihar,Bhangri Pratham Khanda,34
Orissa,Ganjam,Bhanjanagar,25
Punjab,Patiala,Bhankharpur,27
West Bengal,Barddhaman,Bhanowara,34
Madhya Pradesh,Mandsaur,Bhanpura,19
Chhattisgarh,Raipur,Bhanpuri,6
Gujarat,Jamnagar,Bhanvad,11
Uttaranchal,Hardwar,Bharat Heavy Electrical Limited Ranipur,33
Uttar Pradesh,Allahabad,Bharatganj,32
Rajasthan,Bharatpur,Bharatpur,28
Uttar Pradesh,Etah,Bhargain,32
Punjab,Gurdaspur,Bharoli Kalan,27
Uttar Pradesh,Etawah,Bharthana,32
Gujarat,Bharuch,Bharuch,11
Gujarat,Bharuch,Bharuch Ina,11
Uttar Pradesh,Mirzapur,Bharuhana,32
Madhya Pradesh,Balaghat,Bharveli,19
Uttar Pradesh,Kaushambi,Bharwari,32
Chhattisgarh,Raipur,Bhatapara,6
Chhattisgarh,Raipur,Bhatgaon,6
Delhi *,South,Bhati,9
Karnataka,Uttara Kannada,Bhatkal,16
Uttar Pradesh,Deoria,Bhatni Bazar,32
Uttar Pradesh,Deoria,Bhatpar Rani,32
West Bengal,North Twentyfour Parganas,Bhatpara,34
Madhya Pradesh,Dewas,Bhaurasa,19
Tamil Nadu,Erode,Bhavani,30
Tamil Nadu,Erode,Bhavanisagar,30
Gujarat,Bhavnagar,Bhavnagar,11
Madhya Pradesh,Jhabua,Bhavra,19
Uttar Pradesh,Bulandshahr,Bhawan Bahadur Nagar,32
Rajasthan,Jhalawar,Bhawani Mandi,28
Punjab,Sangrur,Bhawanigarh,27
Orissa,Kalahandi,Bhawanipatna,25
Gujarat,Rajkot,Bhayavadar,11
Madhya Pradesh,Jabalpur,Bhedaghat,19
Andhra Pradesh,West Godavari,Bheemavaram,1
Andhra Pradesh,Visakhapatnam,Bheemunipatnam,1
Madhya Pradesh,West Nimar,Bhikangaon,19
Punjab,Mansa,Bhikhi,27
Punjab,Amritsar,Bhikhiwind,27
Chhattisgarh,Durg,Bhilai Charoda,6
Chhattisgarh,Durg,Bhilai Nagar,6
Madhya Pradesh,Hoshangabad,Bhilakhedi,19
Rajasthan,Bhilwara,Bhilwara,28
Karnataka,Gulbarga,Bhimarayanagudi,16
Uttaranchal,Nainital,Bhimtal,33
Madhya Pradesh,Bhind,Bhind,19
Rajasthan,Udaipur,Bhinder,28
Uttar Pradesh,Shrawasti,Bhinga,32
Maharashtra,Ahmadnagar,Bhingar,20
Rajasthan,Jalor,Bhinmal,28
Punjab,Bathinda,Bhisiana,27
Madhya Pradesh,Gwalior,Bhitarwar,19
Rajasthan,Alwar,Bhiwadi,28
Maharashtra,Thane,Bhiwandi,20
Haryana,Bhiwani,Bhiwani,12
Karnataka,Mysore,Bhogadi,16
Uttar Pradesh,Mainpuri,Bhogaon,32
Punjab,Jalandhar,Bhogpur,27
Uttar Pradesh,Moradabad,Bhojpur Dharampur,32
Jharkhand,Bokaro,Bhojudih,15
Maharashtra,Jalna,Bhokardan,20
Uttar Pradesh,Muzaffarnagar,Bhokarhedi,32
West Bengal,Jalpaiguri,Bholar Dabri,34
Andhra Pradesh,Nalgonda,Bhongir,1
Madhya Pradesh,Bhopal,Bhopal,19
Maharashtra,Pune,Bhor,20
Himachal Pradesh,Hamirpur,Bhota,13
Uttaranchal,Nainital,Bhowali,33
Jharkhand,Dhanbad,Bhowrah,15
Orissa,Dhenkanal,Bhuban,25
Orissa,Khordha,Bhubaneswar,25
Punjab,Bathinda,Bhucho Mandi,27
Gujarat,Kachchh,Bhuj,11
Punjab,Kapurthala,Bhulath,27
Uttar Pradesh,Ambedaker Nagar,Bhulepur,32
Jharkhand,Dhanbad,Bhuli,15
Maharashtra,Osmanabad,Bhum,20
Himachal Pradesh,Kullu,Bhuntar,13
Maharashtra,Jalgaon,Bhusawal,20
Rajasthan,Bharatpur,Bhusawar,28
Tamil Nadu,Cuddalore,Bhuvanagiri,30
Madhya Pradesh,Rajgarh,Biaora,19
Mizoram,Serchhip,Biate,23
Goa,North Goa,Bicholim,10
Maharashtra,Bid,Bid,20
Karnataka,Bidar,Bidar,16
Rajasthan,Churu,Bidasar,28
West Bengal,North Twentyfour Parganas,Bidhan Nagar,34
Uttar Pradesh,Auraiya,Bidhuna,32
Uttar Pradesh,Unnao,Bighapur,32
Bihar,Nalanda,Bihar,4
Assam,Lakhimpur,Bihpuria,3
Karnataka,Bijapur,Bijapur,16
Madhya Pradesh,Chhatarpur,Bijawar,19
Jammu & Kashmir,Anantnag,Bijbehara,14
Madhya Pradesh,Sheopur,Bijeypur,19
Assam,Bongaigaon,Bijni,3
Uttar Pradesh,Bijnor,Bijnor,32
Uttar Pradesh,Sonbhadra,Bijpur,32
Madhya Pradesh,Shahdol,Bijuri,19
Rajasthan,Bikaner,Bikaner,28
Uttar Pradesh,Faizabad,Bikapur,32
West Bengal,Haora,Bikihakola,34
Tamil Nadu,The Nilgiris,Bikketti,30
Bihar,Rohtas,Bikramganj,4
West Bengal,South Twentyfour Parganas,Bilandapur,34
Rajasthan,Jodhpur,Bilara,28
Uttar Pradesh,Moradabad,Bilari,32
Uttar Pradesh,Azamgarh,Bilariaganj,32
Assam,Dhubri,Bilasipara,3
Haryana,Yamunanagar,Bilaspur,12
Uttar Pradesh,Rampur,Bilaspur,32
Chhattisgarh,Bilaspur,Bilaspur,6
Himachal Pradesh,Bilaspur,Bilaspur,13
Uttar Pradesh,Gautam Buddha Nagar,Bilaspur,32
Madhya Pradesh,Gwalior,Bilaua,19
Karnataka,Bagalkot,Bilgi,16
Uttar Pradesh,Hardoi,Bilgram,32
Chhattisgarh,Bilaspur,Bilha,6
Uttar Pradesh,Kanpur Nagar,Bilhaur,32
Gujarat,Navsari,Bilimora,11
Jammu & Kashmir,Kathua,Billawar,14
Maharashtra,Nanded,Biloli,20
West Bengal,Barddhaman,Bilpahari,34
Madhya Pradesh,Jabalpur,Bilpura,19
Uttar Pradesh,Etah,Bilram,32
Uttar Pradesh,Pilibhit,Bilsanda,32
Uttar Pradesh,Budaun,Bilsi,32
Madhya Pradesh,Sagar,Bina Etawa,19
Madhya Pradesh,Sagar,Bina Rly Colony,19
Uttar Pradesh,Fatehpur,Bindki,32
Orissa,Sonapur,Binika,25
West Bengal,Haora,Bipra  Noapara,34
Orissa,Sundargarh,Biramitrapur,25
Chhattisgarh,Raipur,Birgaon,6
West Bengal,South Twentyfour Parganas,Birlapur,34
West Bengal,Nadia,Birnagar,34
Bihar,Supaul,Birpur,4
Madhya Pradesh,Satna,Birsinghpur,19
Karnataka,Chikmagalur,Birur,16
Maharashtra,Raigarh,Birwadi,20
Uttar Pradesh,Pilibhit,Bisalpur,32
Uttar Pradesh,Banda,Bisanda Buzurg,32
Uttar Pradesh,Budaun,Bisauli,32
Orissa,Rayagada,Bishama Katek,25
Uttar Pradesh,Bareilly,Bisharatganj,32
Jammu & Kashmir,Jammu,Bishna,14
Manipur,Bishnupur,Bishnupur,21
West Bengal,Bankura,Bishnupur,34
West Bengal,South Twentyfour Parganas,Bishnupur,34
Uttar Pradesh,Ghaziabad,Bisokhar,32
Rajasthan,Jhunjhunun,Bissau,28
Uttar Pradesh,Sitapur,Biswan,32
Assam,Sonitpur,Biswanath Chariali,3
Uttar Pradesh,Kanpur Nagar,Bithoor,32
Andhra Pradesh,Vizianagaram,Bobbili,1
Madhya Pradesh,Rajgarh,Boda,19
Gujarat,Vadodara,Bodeli,11
Bihar,Gaya,Bodh Gaya,4
Andhra Pradesh,Nizamabad,Bodhan,1
Tamil Nadu,Theni,Bodinayakkanur,30
Chhattisgarh,Bilaspur,Bodri,6
Assam,Barpeta,Bohari,3
Maharashtra,Thane,Boisar,20
Assam,Karbi Anglong,Bokajan,3
Assam,Golaghat,Bokakhat,3
Jharkhand,Bokaro,Bokaro,15
Jharkhand,Bokaro,Bokaro Steel City,15
Andhra Pradesh,Medak,Bollaram,1
West Bengal,Birbhum,Bolpur,34
Andaman & Nicobar Islands *,Andamans,Bombooflat,0
Arunachal Pradesh,West Kameng,Bomdila,2
Karnataka,Bangalore,Bommanahalli,16
Karnataka,Bangalore,Bommasandra,16
Assam,Bongaigaon,Bongaigaon,3
Assam,Bongaigaon,"Bongaigaon, Refinery & Petro-Chemical Ltd. Township",3
Tamil Nadu,Kanniyakumari,Boothapandi,30
Tamil Nadu,Theni,Boothipuram,30
Gujarat,Ahmadabad,Bopal,11
Assam,Tinsukia,Borgolai Grant No.11,3
Gujarat,Anand,Boriavi,11
Gujarat,Anand,Borsad,11
Gujarat,Bhavnagar,Botad,11
West Bengal,South Twentyfour Parganas,Bowali,34
Kerala,Thrissur,Brahmakulam,17
Tamil Nadu,Erode,Brahmana Periya-Agraharam,30
Orissa,Ganjam,Brahmapur,25
Maharashtra,Chandrapur,Brahmapuri,20
Orissa,Jharsuguda,Brajarajnagar,25
Uttar Pradesh,Budaun,Budaun,32
West Bengal,South Twentyfour Parganas,Budge Budge,34
Punjab,Amritsar,Budha Theh,27
Uttar Pradesh,Muzaffarnagar,Budhana,32
Maharashtra,Sangli,Budhgaon,20
Punjab,Mansa,Budhlada,27
Madhya Pradesh,Sehore,Budhni,19
Rajasthan,Bundi,Budhpura,28
Andhra Pradesh,Kurnool,Bugganipalle,1
Uttar Pradesh,Bulandshahr,Bugrasi,32
Orissa,Ganjam,Buguda,25
Uttar Pradesh,Bulandshahr,Bulandshahr,32
Maharashtra,Buldana,Buldana,20
Rajasthan,Bundi,Bundi,28
Jharkhand,Ranchi,Bundu,15
Delhi *,North,Burari,9
Madhya Pradesh,East Nimar,Burhanpur,19
Madhya Pradesh,Shahdol,Burhar,19
Haryana,Yamunanagar,Buria,12
Orissa,Sambalpur,Burla,25
Bihar,Buxar,Buxar,4
Madhya Pradesh,Chhatarpur,Buxwaha,19
Karnataka,Haveri,Byadgi,16
Orissa,Jajapur,Byasanagar,25
Karnataka,Bangalore,Byatarayanapura,16
Goa,North Goa,Calangute,10
Goa,North Goa,Calapor,10
Goa,South Goa,Canacona,10
Goa,North Goa,Candolim,10
Goa,North Goa,Carapur,10
West Bengal,Darjiling,Cart Road,34
Assam,Dibrugarh,Chabua,3
West Bengal,Murshidabad,Chachanda,34
Madhya Pradesh,Guna,Chachaura-Binaganj,19
Jharkhand,Pashchimi Singhbhum,Chaibasa,15
Uttar Pradesh,Kaushambi,Chail,32
West Bengal,Barddhaman,Chak Bankola,34
West Bengal,Hugli,Chak Bansberia,34
West Bengal,South Twentyfour Parganas,Chak Enayetnagar,34
Uttar Pradesh,Allahabad,Chak Imam Ali,32
West Bengal,South Twentyfour Parganas,Chak Kashipur,34
Maharashtra,Pune,Chakan,20
West Bengal,Haora,Chakapara,34
West Bengal,Nadia,Chakdaha,34
Uttar Pradesh,Kanpur Nagar,Chakeri,32
Madhya Pradesh,Rewa,Chakghat,19
Bihar,Purba Champaran,Chakia,4
Uttar Pradesh,Chandauli,Chakia,32
Gujarat,Kheda,Chaklasi,11
Jharkhand,Pashchimi Singhbhum,Chakradharpur,15
Uttaranchal,Dehradun,Chakrata,33
Rajasthan,Jaipur,Chaksu,28
Jharkhand,Purbi Singhbhum,Chakulia,15
Kerala,Kannur,Chala,17
Gujarat,Valsad,Chala,11
Kerala,Thrissur,Chalakudy,17
Gujarat,Amreli,Chalala,11
Maharashtra,Jalgaon,Chalisgaon,20
Karnataka,Chitradurga,Challakere,16
Gujarat,Surat,Chalthan,11
Himachal Pradesh,Chamba,Chamba,13
Uttaranchal,Tehri Garhwal,Chamba,33
Uttaranchal,Chamoli,Chamoli Gopeshwar,33
Chhattisgarh,Janjgir-Champa,Champa,6
Uttaranchal,Champawat,Champawat,33
West Bengal,Hugli,Champdani,34
Mizoram,Champhai,Champhai,23
Orissa,Kendujhar,Champua,25
West Bengal,Haora,Chamrail,34
Karnataka,Chamarajanagar,Chamrajnagar,16
Gujarat,Patan,Chanasma,11
Madhya Pradesh,Chhindwara,Chandameta-Butaria,19
West Bengal,Hugli,Chandannagar,34
Orissa,Nayagarh,Chandapur,25
Uttar Pradesh,Chandauli,Chandauli,32
Jharkhand,Dhanbad,Chandaur,15
Uttar Pradesh,Moradabad,Chandausi,32
Madhya Pradesh,Guna,Chanderi,19
Madhya Pradesh,Umaria,Chandia,19
Chandigarh *,Chandigarh,Chandigarh,5
Jharkhand,Pashchimi Singhbhum,Chandil,15
Orissa,Rayagada,Chandili,25
Gujarat,Gandhinagar,Chandkheda,11
Madhya Pradesh,Chhatarpur,Chandla,19
Gujarat,Ahmadabad,Chandlodiya,11
Uttar Pradesh,Bijnor,Chandpur,32
West Bengal,North Twentyfour Parganas,Chandpur,34
West Bengal,Medinipur,Chandrakona,34
Maharashtra,Chandrapur,Chandrapur,20
Assam,Kamrup,Chandrapur Bagicha,3
Jharkhand,Bokaro,Chandrapura,15
Maharashtra,Amravati,Chandur,20
Andhra Pradesh,Nalgonda,Chandur,1
Maharashtra,Chandrapur,Chandur,20
Maharashtra,Amravati,Chandurbazar,20
Kerala,Kottayam,Changanassery,17
Arunachal Pradesh,Changlang,Changlang,2
Karnataka,Davanagere,Channagiri,16
Karnataka,Bangalore Rural,Channapatna,16
Karnataka,Hassan,Channarayapattana,16
Gujarat,Valsad,Chanod,11
Bihar,Pashchim Champaran,Chanpatia,4
Assam,Dhubri,Chapar,3
West Bengal,Puruliya,Chapari,34
Bihar,Saran,Chapra,4
West Bengal,Barddhaman,Chapui,34
West Bengal,Nadia,Char Brahmanagar,34
West Bengal,Nadia,Char Maijdia,34
Jammu & Kashmir,Badgam,Charari Sharief,14
Orissa,Cuttack,Charibatia,25
West Bengal,Murshidabad,Charka,34
Uttar Pradesh,Mahoba,Charkhari,32
Haryana,Bhiwani,Charkhi Dadri,12
Uttar Pradesh,Muzaffarnagar,Charthaval,32
Jharkhand,Bokaro,Chas,15
West Bengal,South Twentyfour Parganas,Chata Kalikapur,34
Andhra Pradesh,Khammam,Chatakonda,1
Jharkhand,Chatra,Chatra,15
Uttar Pradesh,Mathura,Chaumuhan,32
Himachal Pradesh,Shimla,Chaupal,13
Madhya Pradesh,Chhindwara,Chaurai Khas,19
Kerala,Thrissur,Chavakkad,17
West Bengal,Jalpaiguri,Chechakhata,34
Rajasthan,Kota,Chechat,28
Haryana,Kaithal,Cheeka,12
Punjab,Sangrur,Cheema,27
Assam,Jorhat,Chekonidhara,3
West Bengal,Barddhaman,Chelad,34
Kerala,Kannur,Chelora,17
Andhra Pradesh,Cuddapah,Chemmumiahpet,1
Jammu & Kashmir,Udhampur,Chenani,14
Kerala,Ernakulam,Chendamangalam,17
Tamil Nadu,Kancheepuram,Chengalpattu,30
Tamil Nadu,Tiruvanamalai,Chengam,30
Kerala,Ernakulam,Chengamanad,17
Kerala,Alappuzha,Chengannur,17
Tamil Nadu,Chennai,Chennai,30
Tamil Nadu,Erode,Chennasamudram,30
Tamil Nadu,Erode,Chennimalai,30
Kerala,Ernakulam,Cheranallur,17
Tamil Nadu,Tirunelveli,Cheranmadevi,30
Meghalaya,East Khasi Hills,Cherapunjee,22
Kerala,Alappuzha,Cherthala,17
Kerala,Kannur,Cheruthazham,17
Kerala,Kozhikode,Cheruvannur,17
Tamil Nadu,Tiruvanamalai,Chetpet,30
Tamil Nadu,Virudhunagar,Chettiarpatti,30
Tamil Nadu,Coimbatore,Chettipalayam,30
Tamil Nadu,Vellore,Chettithangal,30
Kerala,Thrissur,Chevvoor,17
Rajasthan,Baran,Chhabra,28
Haryana,Yamunanagar,Chhachhrauli,12
Rajasthan,Churu,Chhapar,28
Gujarat,Surat,Chhaprabhatha,11
Uttar Pradesh,Baghpat,Chhaprauli,32
Chhattisgarh,Koriya,Chharchha,6
Uttar Pradesh,Aligarh,Chharra Rafatpur,32
Uttar Pradesh,Mathura,Chhata,32
Uttar Pradesh,Bulandshahr,Chhatari,32
Madhya Pradesh,Chhatarpur,Chhatarpur,19
Jharkhand,Dhanbad,Chhatatanr,15
Gujarat,Gandhinagar,Chhatral Ina,11
Orissa,Ganjam,Chhatrapur,25
Delhi *,South West,Chhawla,9
Gujarat,Porbandar,Chhaya,11
Uttar Pradesh,Kannauj,Chhibramau,32
Madhya Pradesh,Chhindwara,Chhindwara,19
Rajasthan,Baran,Chhipabarod,28
West Bengal,Barddhaman,Chhora,34
Madhya Pradesh,Narsimhapur,Chhota Chhindwara (Gotegaon),19
Jharkhand,Purbi Singhbhum,Chhota Gobindpur,15
Gujarat,Vadodara,Chhota Udaipur,11
Jharkhand,Dhanbad,Chhotaputki,15
Rajasthan,Chittaurgarh,Chhoti Sadri,28
Chhattisgarh,Rajnandgaon,Chhuikhadan,6
Uttar Pradesh,Saharanpur,Chhutmalpur,32
Goa,South Goa,Chicalim,10
Madhya Pradesh,Narsimhapur,Chichli,19
Maharashtra,Nagpur,Chicholi,20
Tamil Nadu,Cuddalore,Chidambaram,30
Karnataka,Kolar,Chik Ballapur,16
Maharashtra,Amravati,Chikhaldara,20
Maharashtra,Buldana,Chikhli,20
Gujarat,Navsari,Chikhli,11
Orissa,Ganjam,Chikiti,25
Karnataka,Chikmagalur,Chikmagalur,16
Karnataka,Tumkur,Chiknayakanhalli,16
Karnataka,Belgaum,Chikodi,16
West Bengal,Hugli,Chikrand,34
Andhra Pradesh,Guntur,Chilakaluripet,1
Uttar Pradesh,Saharanpur,Chilkana Sultanpur,32
Delhi *,East,Chilla Saroda Bangar,9
Gujarat,Gandhinagar,Chiloda(Naroda),11
Goa,North Goa,Chimbel,10
Maharashtra,Thane,Chinchani,20
Goa,South Goa,Chinchinim,10
Karnataka,Gulbarga,Chincholi,16
Tamil Nadu,Madurai,Chinna Anuppanadi,30
Andhra Pradesh,Cuddapah,Chinnachowk,1
Tamil Nadu,Erode,Chinnakkampalayam,30
Tamil Nadu,Dindigul,Chinnalapatti,30
Tamil Nadu,Theni,Chinnamanur,30
Tamil Nadu,Coimbatore,Chinnampalayam,30
Tamil Nadu,Viluppuram,Chinnasalem,30
Tamil Nadu,Thiruvallur,Chinnasekkadu,30
Tamil Nadu,Coimbatore,Chinnavedampatti,30
Andhra Pradesh,Vizianagaram,Chintalavalasa,1
Karnataka,Kolar,Chintamani,16
Maharashtra,Ratnagiri,Chiplun,20
Kerala,Kannur,Chirakkal,17
Andhra Pradesh,Prakasam,Chirala,1
Rajasthan,Jhunjhunun,Chirawa,28
Uttar Pradesh,Jhansi,Chirgaon,32
Jharkhand,Pashchimi Singhbhum,Chiria,15
Jharkhand,Dhanbad,Chirkunda,15
Chhattisgarh,Koriya,Chirmiri,6
Karnataka,Gulbarga,Chitapur,16
Uttar Pradesh,Ballia,Chitbara Gaon,32
Karnataka,Bidar,Chitgoppa,16
Tamil Nadu,Erode,Chithode,30
Tamil Nadu,Kancheepuram,Chitlapakkam,30
Karnataka,Chitradurga,Chitradurga,16
Madhya Pradesh,Satna,Chitrakoot,19
Uttar Pradesh,Chitrakoot,Chitrakoot Dham (Karwi),32
West Bengal,Barddhaman,Chittaranjan,34
Rajasthan,Chittaurgarh,Chittaurgarh,28
Andhra Pradesh,Chittoor,Chittoor,1
Kerala,Palakkad,Chittur-Thathamangalam,17
Kerala,Kannur,Chockli,17
Punjab,Hoshiarpur,Chohal,27
Tamil Nadu,Thanjavur,Cholapuram,30
Rajasthan,Jaipur,Chomu,28
Kerala,Ernakulam,Choornikkara,17
Uttar Pradesh,Sonbhadra,Chopan,32
Maharashtra,Jalgaon,Chopda,20
Gujarat,Junagadh,Chorvad,11
Assam,Nagaon,Choto Haibor,3
Uttar Pradesh,Kanpur Nagar,Choubepur Kalan,32
Orissa,Cuttack,Choudwar,25
Andhra Pradesh,Nalgonda,Choutuppal,1
Kerala,Ernakulam,Chowwara,17
Himachal Pradesh,Chamba,Chuari Khas,13
Nagaland,Dimapur,Chumukedima,24
Uttar Pradesh,Mirzapur,Chunar,32
Andhra Pradesh,Khammam,Chunchupalle,1
Madhya Pradesh,Sidhi,Churhat,19
Jharkhand,Ranchi,Churi,15
Uttar Pradesh,Sonbhadra,Churk Ghurma,32
Rajasthan,Churu,Churu,28
Uttaranchal,Dehradun,Clement Town,33
Tamil Nadu,Coimbatore,Coimbatore,30
Bihar,Bhagalpur,Colgong,4
Uttar Pradesh,Gonda,Colonelganj,32
Goa,North Goa,Colvale,10
West Bengal,Medinipur,Contai,34
Tamil Nadu,The Nilgiris,Coonoor,30
West Bengal,Nadia,Cooper'S Camp,34
Tamil Nadu,Tirunelveli,Courtalam,30
Tamil Nadu,Cuddalore,Cuddalore,30
Andhra Pradesh,Cuddapah,Cuddapah,1
Goa,South Goa,Cuncolim,10
Goa,South Goa,Curchorem Cacora,10
Goa,North Goa,Curti,10
Orissa,Cuttack,Cuttack,25
Gujarat,Vadodara,Dabhoi,11
Madhya Pradesh,Bhind,Daboh,19
Madhya Pradesh,Gwalior,Dabra,19
Orissa,Cuttack,Dadhapatna,25
Uttar Pradesh,Gautam Buddha Nagar,Dadri,32
West Bengal,Murshidabad,Dafahat,34
Himachal Pradesh,Solan,Dagshai,13
Maharashtra,Thane,Dahanu,20
Gujarat,Gandhinagar,Dahegam,11
West Bengal,Barddhaman,Dainhat,34
Orissa,Kendujhar,Daitari,25
Gujarat,Kheda,Dakor,11
West Bengal,Medinipur,Dakshin Baguan,34
West Bengal,Haora,Dakshin Jhapardaha,34
West Bengal,Hugli,Dakshin Rajyadharpur,34
Tamil Nadu,Salem,Dalavaipatti,30
Himachal Pradesh,Chamba,Dalhousie,13
West Bengal,Uttar Dinajpur,Dalkhola,34
Chhattisgarh,Durg,Dalli-Rajhara,6
Delhi *,East,Dallo Pura,9
Uttar Pradesh,Rae Bareli,Dalmau,32
Bihar,Samastipur,Dalsinghsarai,4
Jharkhand,Palamu,Daltonganj,15
West Bengal,Barddhaman,Dalurband,34
Daman & Diu *,Daman,Daman,8
Orissa,Koraput,Damanjodi,25
Gujarat,Amreli,Damnagar,11
Madhya Pradesh,Damoh,Damoh,19
Madhya Pradesh,Chhindwara,Damua,19
Karnataka,Uttara Kannada,Dandeli,16
Jharkhand,Pashchimi Singhbhum,Danguwapasi,15
Uttar Pradesh,Gautam Buddha Nagar,Dankaur,32
Chhattisgarh,Dantewada,Dantewada,6
Maharashtra,Ratnagiri,Dapoli Camp,20
Arunachal Pradesh,Upper Subansiri,Daporijo,2
West Bengal,Nadia,Darappur,34
Bihar,Darbhanga,Darbhanga,4
Karnataka,Bangalore Rural,Dargajogihalli,16
Jharkhand,Hazaribag,Dari,15
Rajasthan,Rajsamand,Dariba,28
Uttar Pradesh,Barabanki,Dariyabad,32
West Bengal,Darjiling,Darjiling,34
Mizoram,Aizawl,Darlawn,23
Punjab,Ludhiana,Daroha,27
Maharashtra,Yavatmal,Darwha,20
Maharashtra,Amravati,Daryapur Banosa,20
Karnataka,Bangalore,Dasarahalli,16
Uttar Pradesh,Ghaziabad,Dasna,32
Andhra Pradesh,Adilabad,Dasnapur,1
Punjab,Hoshiarpur,Dasua,27
Uttar Pradesh,Budaun,Dataganj,32
Madhya Pradesh,Datia,Datia,19
Maharashtra,Amravati,Dattapur Dhamangaon,20
Bihar,Aurangabad,Daudnagar,4
Punjab,Gurdaspur,Daulatpur,27
Himachal Pradesh,Una,Daulatpur,13
Maharashtra,Pune,Daund,20
Uttar Pradesh,Meerut,Daurala,32
Rajasthan,Dausa,Dausa,28
Karnataka,Davanagere,Davanagere,16
Maharashtra,Nagpur,Davlameti,20
Goa,South Goa,Davorlim,10
Delhi *,North East,Dayal Pur,9
Uttar Pradesh,Agra,Dayalbagh,32
Orissa,Debagarh,Debagarh,25
West Bengal,Barddhaman,Debipur,34
Rajasthan,Bharatpur,Deeg,28
Gujarat,Banas Kantha,Deesa,11
Maharashtra,Nanded,Deglur,20
Uttaranchal,Dehradun,Dehradun,33
Bihar,Rohtas,Dehri,4
Maharashtra,Pune,Dehu,20
Maharashtra,Pune,Dehu Road,20
Delhi *,South West,Delhi Cantt.,9
Delhi *,In All 9 Dsitricts,Delhi Municipal Corporation (U),9
Tamil Nadu,Dharmapuri,Denkanikottai,30
Uttar Pradesh,Saharanpur,Deoband,32
Madhya Pradesh,Mandla,Deodara,19
Jharkhand,Deoghar,Deoghar,15
Maharashtra,Nashik,Deolali,20
Maharashtra,Ahmadnagar,Deolali Pravara,20
Maharashtra,Wardha,Deoli,20
Delhi *,South,Deoli,9
Rajasthan,Tonk,Deoli,28
Arunachal Pradesh,Tirap,Deomali,2
Uttar Pradesh,Bareilly,Deoranian,32
Chhattisgarh,Bilaspur,Deori,6
Madhya Pradesh,Sagar,Deori,19
Madhya Pradesh,Shahdol,Deori,19
Uttar Pradesh,Deoria,Deoria,32
Jharkhand,Palamu,Deorikalan,15
Madhya Pradesh,Indore,Depalpur,19
Punjab,Gurdaspur,Dera Baba Nanak,27
Punjab,Patiala,Dera Bassi,27
Himachal Pradesh,Kangra,Dera Gopipur,13
Orissa,Anugul,Deracolliery Township,25
Assam,Golaghat,Dergaon,3
Maharashtra,Gadchiroli,Desaiganj,20
Rajasthan,Bikaner,Deshnoke,28
Tamil Nadu,Tiruvanamalai,Desur,30
Maharashtra,Buldana,Deulgaon Raja,20
West Bengal,Medinipur,Deuli,34
Uttaranchal,Tehri Garhwal & Garhwal,Dev Prayag,33
Tamil Nadu,Theni,Devadanapatti,30
Karnataka,Raichur,Devadurga,16
Tamil Nadu,Sivaganga,Devakottai,30
Tamil Nadu,Namakkal,Devanangurichi,30
Karnataka,Bangalore Rural,Devanhalli,16
Andhra Pradesh,Nalgonda,Devarakonda,1
Tamil Nadu,The Nilgiris,Devarshola,30
Madhya Pradesh,Panna,Devendranagar,19
Gujarat,Dohad,Devgadbaria,11
Rajasthan,Rajsamand,Devgarh,28
Madhya Pradesh,Shahdol,Devhara,19
Gujarat,Navsari,Devsar,11
Uttar Pradesh,Barabanki,Dewa,32
Madhya Pradesh,Dewas,Dewas,19
Maharashtra,Bhandara,Dewhadi,20
Bihar,Purba Champaran,Dhaka,4
West Bengal,North Twentyfour Parganas,Dhakuria,34
Tamil Nadu,Virudhunagar,Dhalavoipuram,30
Tamil Nadu,Coimbatore,Dhali,30
